Title,Link
TRANSCRIPT/DUPLICATE GRADE CARD,http://makautwb.in.net/tnd/
New Syllabus,new_syllabus.html
TEACHER APPOINTMENT,https://makaut1.ucanapply.com/smartexam/public/
Verification of Academic Credentials ,http://makautwb.in.net/tnd/inputs/comlogin.aspx#!
Admit Card ,https://makaut1.ucanapply.com/smartexam/public/admit-card
Odd Sem Exam Routine 2019-20 ,https://makaut1.ucanapply.com/smartexam/public/routine-details
Results,https://makaut1.ucanapply.com/smartexam/public/result-details
PPS PPR RESULT,https://makaut1.ucanapply.com/smartexam/public/result-details-review
Separate supplementaryResult 2019,https://makaut1.ucanapply.com/smartexam/public/result-details-supply
